M_lex_row,bh00_bp0,bh00_bp1,bh00_bp2,bh00_bp3,bh01_bp0,bh01_bp1,bh01_bp2,bh01_bp3,bh02_bp0,bh02_bp1,bh02_bp2,bh02_bp3,bh03_bp0,bh03_bp1,bh03_bp2,bh03_bp3,bh04_bp0,bh04_bp1,bh04_bp2,bh04_bp3,bh05_bp0,bh05_bp1,bh05_bp2,bh05_bp3,bh06_bp0,bh06_bp1,bh06_bp2,bh06_bp3,bh07_bp0,bh07_bp1,bh07_bp2,bh07_bp3,bh08_bp0,bh08_bp1,bh08_bp2,bh08_bp3,bh09_bp0,bh09_bp1,bh09_bp2,bh09_bp3,bh10_bp0,bh10_bp1,bh10_bp2,bh10_bp3,bh11_bp0,bh11_bp1,bh11_bp2,bh11_bp3,bh12_bp0,bh12_bp1,bh12_bp2,bh12_bp3,bh13_bp0,bh13_bp1,bh13_bp2,bh13_bp3,bh14_bp0,bh14_bp1,bh14_bp2,bh14_bp3,bh15_bp0,bh15_bp1,bh15_bp2,bh15_bp3,bh16_bp0,bh16_bp1,bh16_bp2,bh16_bp3,bh17_bp0,bh17_bp1,bh17_bp2,bh17_bp3,bh18_bp0,bh18_bp1,bh18_bp2,bh18_bp3,bh19_bp0,bh19_bp1,bh19_bp2,bh19_bp3
l15,0.910461,0.895461,0.875461,0.855461,0.912549,0.897549,0.877549,0.857549,0.914975,0.899975,0.879975,0.859975,0.917761,0.902761,0.882761,0.862761,0.920917,0.905917,0.885917,0.865917,0.924439,0.909439,0.889439,0.869439,0.928302,0.913302,0.893302,0.873302,0.932462,0.917462,0.897462,0.877462,0.936853,0.921853,0.901853,0.881853,0.941391,0.926391,0.906391,0.886391,0.945978,0.930978,0.910978,0.890978,0.950516,0.935516,0.915516,0.895516,0.954907,0.939907,0.919907,0.899907,0.959067,0.944067,0.924067,0.904067,0.962930,0.947930,0.927930,0.907930,0.966452,0.951452,0.931452,0.911452,0.969608,0.954608,0.934608,0.914608,0.972394,0.957394,0.937394,0.917394,0.974820,0.959820,0.939820,0.919820,0.976908,0.961908,0.941908,0.921908
l16,0.913646,0.898646,0.878646,0.858646,0.915743,0.900743,0.880743,0.860743,0.918180,0.903180,0.883180,0.863180,0.920978,0.905978,0.885978,0.865978,0.924148,0.909148,0.889148,0.869148,0.927685,0.912685,0.892685,0.872685,0.931565,0.916565,0.896565,0.876565,0.935744,0.920744,0.900744,0.880744,0.940154,0.925154,0.905154,0.885154,0.944711,0.929711,0.909711,0.889711,0.949319,0.934319,0.914319,0.894319,0.953876,0.938876,0.918876,0.898876,0.958286,0.943286,0.923286,0.903286,0.962465,0.947465,0.927465,0.907465,0.966345,0.951345,0.931345,0.911345,0.969882,0.954882,0.934882,0.914882,0.973052,0.958052,0.938052,0.918052,0.975850,0.960850,0.940850,0.920850,0.978287,0.963287,0.943287,0.923287,0.980384,0.965384,0.945384,0.925384
l17,0.915625,0.900625,0.880625,0.860625,0.917728,0.902728,0.882728,0.862728,0.920172,0.905172,0.885172,0.865172,0.922977,0.907977,0.887977,0.867977,0.926156,0.911156,0.891156,0.871156,0.929703,0.914703,0.894703,0.874703,0.933594,0.918594,0.898594,0.878594,0.937783,0.922783,0.902783,0.882783,0.942205,0.927205,0.907205,0.887205,0.946775,0.931775,0.911775,0.891775,0.951395,0.936395,0.916395,0.896395,0.955965,0.940965,0.920965,0.900965,0.960387,0.945387,0.925387,0.905387,0.964577,0.949577,0.929577,0.909577,0.968468,0.953468,0.933468,0.913468,0.972014,0.957015,0.937014,0.917014,0.975193,0.960193,0.940193,0.920193,0.977999,0.962999,0.942999,0.922999,0.980442,0.965442,0.945442,0.925442,0.982545,0.967545,0.947545,0.927545
l18,0.916297,0.901297,0.881297,0.861297,0.918402,0.903402,0.883402,0.863402,0.920848,0.905847,0.885848,0.865848,0.923656,0.908656,0.888656,0.868656,0.926837,0.911837,0.891837,0.871837,0.930387,0.915387,0.895387,0.875387,0.934282,0.919282,0.899282,0.879282,0.938475,0.923475,0.903475,0.883475,0.942901,0.927901,0.907901,0.887901,0.947475,0.932475,0.912475,0.892475,0.952100,0.937100,0.917100,0.897100,0.956674,0.941674,0.921674,0.901674,0.961100,0.946100,0.926100,0.906100,0.965293,0.950294,0.930294,0.910293,0.969188,0.954188,0.934188,0.914188,0.972738,0.957738,0.937738,0.917738,0.975919,0.960919,0.940920,0.920919,0.978728,0.963728,0.943728,0.923728,0.981173,0.966173,0.946173,0.926173,0.983278,0.968278,0.948278,0.928278
l19,0.915625,0.900625,0.880625,0.860625,0.917728,0.902728,0.882728,0.862728,0.920172,0.905172,0.885172,0.865172,0.922977,0.907977,0.887977,0.867977,0.926156,0.911156,0.891156,0.871156,0.929703,0.914703,0.894703,0.874703,0.933594,0.918594,0.898594,0.878594,0.937783,0.922783,0.902783,0.882783,0.942205,0.927205,0.907205,0.887205,0.946775,0.931775,0.911775,0.891775,0.951395,0.936395,0.916395,0.896395,0.955965,0.940965,0.920965,0.900965,0.960387,0.945387,0.925387,0.905387,0.964577,0.949577,0.929577,0.909577,0.968468,0.953468,0.933468,0.913468,0.972014,0.957015,0.937014,0.917014,0.975193,0.960193,0.940193,0.920193,0.977999,0.962999,0.942999,0.922999,0.980442,0.965442,0.945442,0.925442,0.982545,0.967545,0.947545,0.927545
l20,0.913646,0.898646,0.878646,0.858646,0.915743,0.900743,0.880743,0.860743,0.918180,0.903180,0.883180,0.863180,0.920978,0.905978,0.885978,0.865978,0.924148,0.909148,0.889148,0.869148,0.927685,0.912685,0.892685,0.872685,0.931565,0.916565,0.896565,0.876565,0.935744,0.920744,0.900744,0.880744,0.940154,0.925154,0.905154,0.885154,0.944711,0.929711,0.909711,0.889711,0.949319,0.934319,0.914319,0.894319,0.953876,0.938876,0.918876,0.898876,0.958286,0.943286,0.923286,0.903286,0.962465,0.947465,0.927465,0.907465,0.966345,0.951345,0.931345,0.911345,0.969882,0.954882,0.934882,0.914882,0.973052,0.958052,0.938052,0.918052,0.975850,0.960850,0.940850,0.920850,0.978287,0.963287,0.943287,0.923287,0.980384,0.965384,0.945385,0.925384
l21,0.910461,0.895461,0.875461,0.855461,0.912549,0.897549,0.877549,0.857549,0.914975,0.899975,0.879975,0.859975,0.917761,0.902761,0.882761,0.862761,0.920917,0.905917,0.885917,0.865917,0.924439,0.909439,0.889439,0.869439,0.928302,0.913302,0.893302,0.873302,0.932462,0.917462,0.897462,0.877462,0.936853,0.921853,0.901853,0.881853,0.941391,0.926391,0.906391,0.886391,0.945978,0.930978,0.910978,0.890978,0.950516,0.935516,0.915516,0.895516,0.954907,0.939907,0.919907,0.899907,0.959067,0.944067,0.924067,0.904067,0.962930,0.947930,0.927930,0.907930,0.966452,0.951452,0.931452,0.911452,0.969608,0.954608,0.934608,0.914608,0.972394,0.957394,0.937394,0.917394,0.974820,0.959820,0.939820,0.919820,0.976908,0.961908,0.941908,0.921908
l22,0.906232,0.891232,0.871232,0.851232,0.908308,0.893308,0.873308,0.853308,0.910720,0.895720,0.875720,0.855720,0.913490,0.898490,0.878490,0.858490,0.916628,0.901627,0.881628,0.861628,0.920129,0.905129,0.885129,0.865129,0.923970,0.908970,0.888970,0.868970,0.928105,0.913105,0.893106,0.873105,0.932471,0.917471,0.897471,0.877471,0.936982,0.921982,0.901982,0.881982,0.941543,0.926543,0.906543,0.886543,0.946054,0.931054,0.911054,0.891054,0.950419,0.935419,0.915419,0.895419,0.954555,0.939555,0.919555,0.899555,0.958396,0.943396,0.923396,0.903396,0.961897,0.946897,0.926897,0.906897,0.965035,0.950035,0.930035,0.910035,0.967804,0.952804,0.932804,0.912804,0.970216,0.955216,0.935216,0.915216,0.972292,0.957292,0.937292,0.917292
l23,0.901166,0.886166,0.866166,0.846166,0.903227,0.888227,0.868227,0.848227,0.905622,0.890622,0.870622,0.850622,0.908373,0.893373,0.873373,0.853373,0.911488,0.896488,0.876488,0.856488,0.914965,0.899965,0.879965,0.859965,0.918779,0.903779,0.883779,0.863779,0.922886,0.907886,0.887886,0.867886,0.927220,0.912220,0.892220,0.872220,0.931700,0.916700,0.896700,0.876700,0.936229,0.921229,0.901229,0.881229,0.940708,0.925708,0.905708,0.885708,0.945043,0.930043,0.910043,0.890043,0.949149,0.934150,0.914150,0.894150,0.952964,0.937963,0.917964,0.897964,0.956440,0.941440,0.921440,0.901440,0.959556,0.944556,0.924556,0.904556,0.962306,0.947306,0.927306,0.907306,0.964701,0.949701,0.929701,0.909701,0.966763,0.951763,0.931763,0.911763
l24,0.895497,0.880497,0.860497,0.840497,0.897542,0.882542,0.862542,0.842542,0.899918,0.884918,0.864918,0.844918,0.902647,0.887647,0.867647,0.847647,0.905738,0.890738,0.870738,0.850738,0.909187,0.894187,0.874187,0.854187,0.912971,0.897971,0.877971,0.857971,0.917045,0.902045,0.882045,0.862045,0.921346,0.906345,0.886346,0.866346,0.925789,0.910789,0.890790,0.870789,0.930283,0.915283,0.895283,0.875283,0.934727,0.919727,0.899727,0.879727,0.939027,0.924027,0.904027,0.884027,0.943101,0.928101,0.908101,0.888101,0.946885,0.931885,0.911885,0.891885,0.950334,0.935334,0.915334,0.895334,0.953425,0.938425,0.918425,0.898425,0.956154,0.941154,0.921154,0.901154,0.958530,0.943530,0.923530,0.903530,0.960575,0.945575,0.925575,0.905575
l25,0.889471,0.874471,0.854471,0.834471,0.891499,0.876499,0.856499,0.836499,0.893855,0.878855,0.858855,0.838855,0.896560,0.881560,0.861560,0.841560,0.899625,0.884625,0.864625,0.844625,0.903045,0.888045,0.868045,0.848045,0.906797,0.891797,0.871797,0.851797,0.910837,0.895837,0.875837,0.855837,0.915100,0.900101,0.880100,0.860100,0.919507,0.904507,0.884507,0.864507,0.923962,0.908962,0.888962,0.868962,0.928368,0.913368,0.893368,0.873368,0.932632,0.917632,0.897632,0.877632,0.936672,0.921672,0.901672,0.881672,0.940424,0.925424,0.905424,0.885424,0.943844,0.928844,0.908844,0.888844,0.946908,0.931908,0.911909,0.891908,0.949614,0.934614,0.914614,0.894614,0.951970,0.936970,0.916970,0.896970,0.953998,0.938998,0.918998,0.898998
l26,0.883326,0.868326,0.848326,0.828326,0.885337,0.870336,0.850336,0.830337,0.887672,0.872672,0.852672,0.832672,0.890354,0.875354,0.855354,0.835354,0.893392,0.878392,0.858392,0.838392,0.896782,0.881782,0.861782,0.841782,0.900501,0.885501,0.865501,0.845501,0.904506,0.889506,0.869506,0.849506,0.908732,0.893732,0.873733,0.853732,0.913100,0.898100,0.878100,0.858100,0.917517,0.902517,0.882517,0.862517,0.921885,0.906885,0.886885,0.866885,0.926111,0.911111,0.891111,0.871111,0.930116,0.915116,0.895116,0.875116,0.933835,0.918835,0.898835,0.878835,0.937225,0.922225,0.902225,0.882225,0.940263,0.925263,0.905263,0.885263,0.942945,0.927945,0.907945,0.887945,0.945281,0.930281,0.910281,0.890281,0.947291,0.932291,0.912291,0.892291
l27,0.877280,0.862280,0.842280,0.822280,0.879273,0.864272,0.844272,0.824273,0.881588,0.866588,0.846588,0.826588,0.884246,0.869246,0.849246,0.829246,0.887258,0.872258,0.852258,0.832258,0.890619,0.875619,0.855619,0.835619,0.894306,0.879306,0.859306,0.839306,0.898276,0.883276,0.863276,0.843276,0.902466,0.887466,0.867466,0.847466,0.906796,0.891796,0.871796,0.851796,0.911174,0.896174,0.876174,0.856174,0.915505,0.900505,0.880504,0.860504,0.919695,0.904695,0.884695,0.864695,0.923665,0.908665,0.888665,0.868665,0.927352,0.912351,0.892352,0.872352,0.930712,0.915712,0.895712,0.875712,0.933724,0.918724,0.898724,0.878724,0.936383,0.921383,0.901383,0.881383,0.938698,0.923698,0.903698,0.883698,0.940691,0.925691,0.905691,0.885691
l28,0.871515,0.856515,0.836515,0.816515,0.873491,0.858491,0.838491,0.818491,0.875787,0.860787,0.840787,0.820787,0.878423,0.863423,0.843423,0.823423,0.881410,0.866410,0.846410,0.826410,0.884743,0.869743,0.849743,0.829743,0.888399,0.873399,0.853399,0.833399,0.892336,0.877336,0.857336,0.837336,0.896492,0.881492,0.861492,0.841492,0.900786,0.885786,0.865786,0.845786,0.905127,0.890127,0.870127,0.850128,0.909422,0.894422,0.874422,0.854422,0.913577,0.898577,0.878577,0.858577,0.917514,0.902514,0.882514,0.862514,0.921170,0.906170,0.886170,0.866170,0.924503,0.909503,0.889503,0.869503,0.927490,0.912490,0.892490,0.872490,0.930126,0.915126,0.895126,0.875126,0.932422,0.917422,0.897422,0.877422,0.934399,0.919398,0.899398,0.879399
l29,0.866174,0.851174,0.831174,0.811174,0.868135,0.853135,0.833135,0.813135,0.870413,0.855413,0.835413,0.815413,0.873029,0.858029,0.838029,0.818029,0.875993,0.860993,0.840993,0.820993,0.879300,0.864300,0.844300,0.824300,0.882928,0.867928,0.847928,0.827928,0.886834,0.871834,0.851834,0.831834,0.890957,0.875957,0.855957,0.835957,0.895218,0.880218,0.860218,0.840218,0.899526,0.884526,0.864526,0.844526,0.903787,0.888787,0.868787,0.848787,0.907910,0.892910,0.872910,0.852910,0.911816,0.896816,0.876816,0.856816,0.915444,0.900444,0.880444,0.860444,0.918751,0.903751,0.883751,0.863751,0.921714,0.906714,0.886714,0.866714,0.924330,0.909330,0.889330,0.869330,0.926608,0.911609,0.891608,0.871608,0.928569,0.913569,0.893569,0.873569
l30,0.861358,0.846358,0.826358,0.806358,0.863305,0.848305,0.828305,0.808305,0.865567,0.850567,0.830567,0.810567,0.868164,0.853164,0.833164,0.813164,0.871107,0.856107,0.836107,0.816107,0.874391,0.859391,0.839391,0.819391,0.877993,0.862993,0.842993,0.822993,0.881872,0.866872,0.846872,0.826872,0.885966,0.870966,0.850966,0.830966,0.890196,0.875196,0.855196,0.835196,0.894474,0.879474,0.859474,0.839474,0.898704,0.883704,0.863704,0.843704,0.902798,0.887798,0.867798,0.847798,0.906677,0.891677,0.871677,0.851677,0.910279,0.895279,0.875279,0.855279,0.913563,0.898563,0.878563,0.858563,0.916506,0.901506,0.881506,0.861506,0.919103,0.904103,0.884103,0.864103,0.921365,0.906365,0.886365,0.866365,0.923312,0.908312,0.888312,0.868312
