W_head_row,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31
l15,1.082494,1.140314,1.061756,1.029850,1.060358,1.048234,1.064125,1.037831,1.099800,1.032178,1.097018,1.050244,1.150000,1.047653,1.090656,1.069867,1.054703,1.087918,1.049518,1.065112,1.092896,1.073194,1.047096,1.077920,1.072531,1.029145,1.076741,1.060207,1.058760,1.024607,1.136126,1.079073
l16,1.088869,1.145709,1.065105,1.034791,1.061800,1.051190,1.069594,1.037523,1.107168,1.036192,1.100486,1.056080,1.150000,1.048853,1.093285,1.071531,1.057470,1.094562,1.054097,1.063101,1.097347,1.077955,1.050932,1.079913,1.074748,1.026459,1.077738,1.065194,1.066175,1.028324,1.136195,1.081596
l17,1.090727,1.143230,1.066794,1.038512,1.065412,1.051474,1.069686,1.042732,1.113851,1.041020,1.103167,1.055729,1.150000,1.048836,1.092276,1.073978,1.061949,1.100885,1.057100,1.061623,1.100134,1.079053,1.049981,1.084608,1.075059,1.024384,1.084419,1.070649,1.063262,1.027058,1.140988,1.084025
l18,1.092111,1.147053,1.064112,1.039597,1.063474,1.054335,1.067347,1.048528,1.113487,1.039283,1.104143,1.057439,1.150000,1.050796,1.094195,1.073741,1.061335,1.101033,1.057886,1.065282,1.100725,1.075168,1.050678,1.081326,1.073705,1.027026,1.084368,1.069685,1.059902,1.024864,1.143029,1.088052
l19,1.092961,1.146503,1.063852,1.040746,1.062736,1.054156,1.067453,1.045944,1.111470,1.038662,1.104491,1.058358,1.150000,1.047309,1.095683,1.076120,1.062544,1.096698,1.054945,1.066830,1.097068,1.074340,1.050345,1.079177,1.078521,1.031148,1.079635,1.070194,1.058272,1.022508,1.143076,1.082355
l20,1.090145,1.144263,1.065765,1.041101,1.059731,1.048585,1.067842,1.042270,1.106367,1.038080,1.103093,1.057118,1.150000,1.049415,1.093381,1.076320,1.061308,1.099111,1.051489,1.064054,1.095997,1.073622,1.053443,1.076772,1.075322,1.032426,1.073335,1.068913,1.059672,1.023884,1.138744,1.077836
l21,1.080019,1.144793,1.066427,1.037719,1.058395,1.048817,1.057550,1.039861,1.102369,1.035764,1.100515,1.050459,1.149795,1.048064,1.088086,1.069636,1.060190,1.097669,1.049450,1.057850,1.094050,1.070429,1.048647,1.077263,1.066539,1.028515,1.070746,1.062780,1.061105,1.020900,1.133734,1.076544
l22,1.075773,1.135083,1.060403,1.034273,1.054799,1.047113,1.053938,1.040136,1.099674,1.036639,1.094853,1.047047,1.148428,1.044887,1.087784,1.063936,1.055559,1.090891,1.042827,1.052066,1.087183,1.068888,1.045212,1.072808,1.060770,1.029242,1.069883,1.058759,1.055776,1.020591,1.127607,1.071385
l23,1.075072,1.125315,1.050931,1.031753,1.045315,1.042775,1.056660,1.035461,1.094713,1.029151,1.084990,1.046744,1.145605,1.040023,1.079870,1.060619,1.053714,1.088130,1.035591,1.049112,1.080768,1.063006,1.041562,1.065698,1.057534,1.026174,1.064399,1.054048,1.050244,1.014358,1.123586,1.066898
l24,1.068293,1.113004,1.045999,1.025186,1.042915,1.036269,1.055219,1.027564,1.086307,1.024083,1.078611,1.044545,1.140836,1.037080,1.065859,1.060111,1.048013,1.076557,1.032847,1.046600,1.072331,1.060315,1.036824,1.060983,1.053360,1.021175,1.058292,1.047715,1.043443,1.011383,1.110759,1.059197
l25,1.058482,1.103320,1.040407,1.021392,1.040693,1.032159,1.045349,1.023072,1.078434,1.020558,1.067337,1.036826,1.128957,1.029906,1.061164,1.051667,1.042545,1.072364,1.033390,1.039878,1.064149,1.052044,1.031224,1.054045,1.052153,1.017740,1.052158,1.041588,1.040167,1.010763,1.094710,1.057002
l26,1.048601,1.092517,1.037140,1.018411,1.033024,1.024531,1.034754,1.022766,1.072080,1.020484,1.065845,1.028494,1.115284,1.025880,1.056088,1.045566,1.038473,1.066590,1.028818,1.035053,1.058668,1.042917,1.025168,1.047238,1.042904,1.009265,1.042248,1.036859,1.035191,1.009843,1.090703,1.047677
l27,1.044457,1.084289,1.032618,1.016837,1.028825,1.020312,1.030171,1.015476,1.061216,1.014318,1.058677,1.021995,1.102141,1.023705,1.049434,1.038040,1.031492,1.057448,1.021478,1.033576,1.051575,1.038568,1.020032,1.042578,1.036017,1.003870,1.031530,1.034178,1.030920,1.007470,1.084454,1.040887
l28,1.039968,1.079178,1.029324,1.010015,1.024274,1.019111,1.026530,1.012786,1.055374,1.008544,1.050360,1.016012,1.089556,1.015341,1.043495,1.030480,1.022126,1.046661,1.013872,1.022777,1.045279,1.040071,1.017725,1.033319,1.031490,1.004003,1.031424,1.026328,1.025396,1.008742,1.076565,1.038202
l29,1.037678,1.073172,1.020195,1.006835,1.019885,1.017775,1.025003,1.009219,1.050420,1.006625,1.044861,1.012268,1.080274,1.010514,1.040242,1.028505,1.015962,1.038895,1.010647,1.016715,1.039771,1.033699,1.016091,1.027645,1.031644,1.005668,1.031832,1.016945,1.018793,1.008524,1.069305,1.034119
l30,1.032830,1.062650,1.012933,1.005342,1.015736,1.014190,1.022565,1.003232,1.045668,1.003883,1.039311,1.011588,1.075353,1.008687,1.033767,1.024300,1.014795,1.035856,1.006614,1.017846,1.037276,1.021751,1.013206,1.027434,1.027657,1.001648,1.033049,1.015557,1.015183,0.999330,1.063512,1.027054
l31,1.020752,1.055362,1.009752,0.997651,1.011186,1.019844,1.019260,1.007336,1.038861,1.000543,1.030373,1.010647,1.072887,1.004389,1.027401,1.017098,1.007687,1.031384,1.003053,1.016784,1.035629,1.019388,1.001307,1.019544,1.018865,0.992007,1.024804,1.014311,1.014115,1.001405,1.059117,1.019803
